adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,weight,wrong_association_edges
0.9472222959992582,base,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,22,44157,44b6_12dfb391,44939,58672.0,806,0
0.8026264269935753,base,1,0,0.0,0,24,33,0.8161290322580645,253,18,6,253,4,12,22019,44b6_267148e4,22295,19130.0,310,0
0.8818320749982893,base,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,32,39917,44b6_2a2eff9f,40131,56367.0,231,0
0.9774308871106809,base,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,7,8198,44b6_341df25f,8412,7436.0,209,0
0.9763645023687149,base,0,0,1.0,1,15,9,0.9735391400220507,883,6,9,883,9,2,4934,6bba_062c8d37,5855,6030.0,907,0
0.81261868264809,base,2,0,0.0,0,39,18,0.8429752066115702,306,7,32,306,26,4,28889,6bba_07e24132,29222,21485.0,363,0
0.9950752546782322,base,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8980976787332325,base,4,0,0.0,0,89,122,0.8941294530858003,1782,72,17,1782,13,19,27799,6bba_09961292,29736,31117.0,1993,0
0.9472428036657168,gap45,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,22,44144,44b6_12dfb391,44926,58672.0,806,0
0.8027074852874222,gap45,1,0,0.0,0,24,33,0.8161290322580645,253,18,6,253,4,12,22000,44b6_267148e4,22276,19130.0,310,0
0.8818594466367099,gap45,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,33,39899,44b6_2a2eff9f,40113,56367.0,231,0
0.9774841647127256,gap45,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,7,8194,44b6_341df25f,8408,7436.0,209,0
0.9763645023687149,gap45,0,0,1.0,1,15,9,0.9735391400220507,883,6,9,883,9,2,4934,6bba_062c8d37,5855,6030.0,907,0
0.81261868264809,gap45,2,0,0.0,0,39,18,0.8429752066115702,306,7,32,306,26,4,28889,6bba_07e24132,29222,21485.0,363,0
0.9950752546782322,gap45,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8981091725077363,gap45,4,0,0.0,0,89,122,0.8941294530858003,1782,72,17,1782,13,20,27795,6bba_09961292,29732,31117.0,1993,0
0.9472159859480404,tight55,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,22,44161,44b6_12dfb391,44943,58672.0,806,0
0.8051126426748005,tight55,1,0,0.0,0,24,32,0.8187702265372169,253,18,6,253,4,15,22045,44b6_267148e4,22321,19130.0,309,0
0.8818427195243417,tight55,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,32,39910,44b6_2a2eff9f,40124,56367.0,231,0
0.9774175677101697,tight55,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8,8199,44b6_341df25f,8413,7436.0,209,0
0.9797113878123196,tight55,0,0,1.0,1,14,7,0.9767955801104973,884,5,9,884,9,2,4929,6bba_062c8d37,5850,6030.0,905,0
0.8197989707436161,tight55,2,0,0.0,0,38,16,0.850415512465374,307,6,32,307,26,4,28887,6bba_07e24132,29220,21485.0,361,0
0.9933698735632566,tight55,1,0,0.0,0,7,3,0.9914602903501281,1161,1,6,1161,5,4,7107,6bba_085bf656,8300,8463.0,1171,0
