stem,change,source_id,target_id,attribution
44b6_12dfb391,removed,428,870,UNKNOWN
44b6_12dfb391,removed,1701,50813,UNKNOWN
44b6_12dfb391,removed,2220,2666,UNKNOWN
44b6_12dfb391,removed,2666,3118,UNKNOWN
44b6_12dfb391,removed,2811,50903,UNKNOWN
44b6_12dfb391,removed,3118,3566,UNKNOWN
44b6_12dfb391,removed,3221,50907,UNKNOWN
44b6_12dfb391,removed,3498,50847,UNKNOWN
44b6_12dfb391,removed,3566,3983,UNKNOWN
44b6_12dfb391,removed,3779,4206,UNKNOWN
44b6_12dfb391,removed,3863,4306,UNKNOWN
44b6_12dfb391,removed,4155,50849,UNKNOWN
44b6_12dfb391,removed,4800,50925,UNKNOWN
44b6_12dfb391,removed,5107,5548,UNKNOWN
44b6_12dfb391,removed,5501,50943,UNKNOWN
44b6_12dfb391,removed,5934,50827,UNKNOWN
44b6_12dfb391,removed,6174,50929,UNKNOWN
44b6_12dfb391,removed,6818,7239,UNKNOWN
44b6_12dfb391,removed,7129,7576,UNKNOWN
44b6_12dfb391,removed,7181,50867,UNKNOWN
44b6_12dfb391,removed,8255,50923,UNKNOWN
44b6_12dfb391,removed,8373,50869,UNKNOWN
44b6_12dfb391,removed,8869,50829,UNKNOWN
44b6_12dfb391,removed,9151,9592,UNKNOWN
44b6_12dfb391,removed,9349,50815,UNKNOWN
44b6_12dfb391,removed,9371,9845,UNKNOWN
44b6_12dfb391,removed,9592,10071,UNKNOWN
44b6_12dfb391,removed,9723,50899,UNKNOWN
44b6_12dfb391,removed,9845,10325,UNKNOWN
44b6_12dfb391,removed,10071,10563,UNKNOWN
44b6_12dfb391,removed,10325,10813,UNKNOWN
44b6_12dfb391,removed,10563,11016,UNKNOWN
44b6_12dfb391,removed,10702,50905,UNKNOWN
44b6_12dfb391,removed,10764,11203,UNKNOWN
44b6_12dfb391,removed,10813,11271,UNKNOWN
44b6_12dfb391,removed,11015,11435,UNKNOWN
44b6_12dfb391,removed,11016,11474,UNKNOWN
