adjusted_edge_jaccard,config,div_fn,div_fp,div_jaccard,div_tp,edge_fn,edge_fp,edge_jaccard,edge_tp,edges_fragmented,edges_lost_to_detection,edges_recovered,missed_gt_nodes,safe_divisions_added,spurious_pred_nodes,stem,t_pred,t_true,weight,wrong_association_edges
0.9472002108199954,base,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,23,44171,44b6_12dfb391,44953,58672.0,806,0
0.8048719289074753,base,1,0,0.0,0,25,31,0.8181818181818182,252,17,8,252,5,13,21967,44b6_267148e4,22242,19130.0,308,0
0.8818366369380259,base,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,33,39914,44b6_2a2eff9f,40128,56367.0,231,0
0.9774175677101697,base,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8,8199,44b6_341df25f,8413,7436.0,209,0
0.9829874384981172,base,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,2,4929,6bba_062c8d37,5853,6030.0,905,0
0.8083259617254472,base,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,4,28848,6bba_07e24132,29181,21485.0,365,0
0.9950752546782322,base,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.8910581134757357,base,4,0,0.0,0,94,132,0.8871692461308038,1777,77,17,1777,13,20,27816,6bba_09961292,29753,31117.0,2003,0
0.9472222959992582,gap45,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,23,44157,44b6_12dfb391,44939,58672.0,806,0
0.8049531910849215,gap45,1,0,0.0,0,25,31,0.8181818181818182,252,17,8,252,5,14,21948,44b6_267148e4,22223,19130.0,308,0
0.8818640085764466,gap45,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,34,39896,44b6_2a2eff9f,40110,56367.0,231,0
0.9774708453122144,gap45,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8,8195,44b6_341df25f,8409,7436.0,209,0
0.9829874384981172,gap45,0,0,1.0,1,11,7,0.980110497237569,887,5,6,887,6,2,4929,6bba_062c8d37,5853,6030.0,905,0
0.8083259617254472,gap45,2,0,0.0,0,39,20,0.8383561643835616,306,7,32,306,26,4,28848,6bba_07e24132,29181,21485.0,365,0
0.9950752546782322,gap45,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,4,7107,6bba_085bf656,8300,8463.0,1170,0
0.891075219930332,gap45,4,0,0.0,0,94,132,0.8871692461308038,1777,77,17,1777,13,22,27810,6bba_09961292,29747,31117.0,2003,0
0.9471907457431684,tight55,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,23,44177,44b6_12dfb391,44959,58672.0,806,0
0.8132565795093085,tight55,1,0,0.0,0,24,29,0.826797385620915,253,16,8,253,5,14,21988,44b6_267148e4,22263,19130.0,306,0
0.881853364050394,tight55,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,34,39903,44b6_2a2eff9f,40117,56367.0,231,0
0.9774175677101697,tight55,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8,8199,44b6_341df25f,8413,7436.0,209,0
0.9851842557125876,tight55,0,0,1.0,1,10,6,0.9823008849557522,888,4,6,888,6,2,4929,6bba_062c8d37,5853,6030.0,904,0
0.815443563354791,tight55,2,0,0.0,0,38,18,0.8457300275482094,307,6,32,307,26,4,28846,6bba_07e24132,29179,21485.0,363,0
0.9933698735632566,tight55,1,0,0.0,0,7,3,0.9914602903501281,1161,1,6,1161,5,4,7107,6bba_085bf656,8300,8463.0,1171,0
0.8943248531817481,tight55,4,0,0.0,0,92,127,0.8903903903903904,1779,75,17,1779,13,18,27805,6bba_09961292,29742,31117.0,1998,0
0.9472033658456044,relaxed9,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,23,44169,44b6_12dfb391,44951,58672.0,806,0
0.8074593344696241,relaxed9,1,0,0.0,0,25,30,0.8208469055374593,252,17,8,252,5,13,21975,44b6_267148e4,22250,19130.0,307,0
0.8818792150422359,relaxed9,0,1,0.5,1,12,21,0.8571428571428571,198,12,0,198,0,33,39886,44b6_2a2eff9f,40100,56367.0,231,0
0.9774442065111921,relaxed9,0,0,1.0,1,2,0,0.9904306220095693,207,0,2,207,2,8,8197,44b6_341df25f,8411,7436.0,209,0
0.9778623988226638,relaxed9,0,0,1.0,1,15,8,0.9746136865342163,883,6,9,883,9,2,4908,6bba_062c8d37,5829,6030.0,906,0
0.8105075097116056,relaxed9,2,0,0.0,0,39,19,0.8406593406593407,306,7,32,306,26,6,28858,6bba_07e24132,29191,21485.0,364,0
0.9951926081454618,relaxed9,1,0,0.0,0,6,2,0.9931623931623932,1162,0,6,1162,5,3,7097,6bba_085bf656,8290,8463.0,1170,0
0.8942353884974713,relaxed9,4,1,0.0,0,93,126,0.8903355032548823,1778,76,17,1778,13,21,27817,6bba_09961292,29754,31117.0,1997,0
0.947208098384018,bonus125,1,0,0.0,0,27,33,0.9255583126550868,746,19,8,746,6,23,44166,44b6_12dfb391,44948,58672.0,806,0
0.8049189754312599,bonus125,1,0,0.0,0,25,31,0.8181818181818182,252,17,8,252,5,13,21956,44b6_267148e4,22231,19130.0,308,0
