stem,embryo,frame,source,target,attribution
44b6_12dfb391,44b6,6,2897,3359,UNKNOWN
44b6_12dfb391,44b6,7,3408,3863,UNKNOWN
44b6_12dfb391,44b6,7,3424,50301,UNKNOWN
44b6_12dfb391,44b6,16,7097,7545,UNKNOWN
44b6_12dfb391,44b6,16,7117,7522,UNKNOWN
44b6_12dfb391,44b6,16,7403,7856,UNKNOWN
44b6_12dfb391,44b6,21,9367,9817,UNKNOWN
44b6_12dfb391,44b6,23,10277,50365,UNKNOWN
44b6_12dfb391,44b6,23,10285,10764,UNKNOWN
44b6_12dfb391,44b6,29,13156,13643,UNKNOWN
44b6_12dfb391,44b6,38,17673,18160,UNKNOWN
44b6_12dfb391,44b6,44,20815,21317,UNKNOWN
44b6_12dfb391,44b6,58,27852,28383,UNKNOWN
44b6_12dfb391,44b6,59,28275,28776,UNKNOWN
44b6_12dfb391,44b6,63,30398,50575,UNKNOWN
44b6_12dfb391,44b6,63,30399,30916,UNKNOWN
44b6_12dfb391,44b6,71,34603,50629,UNKNOWN
44b6_12dfb391,44b6,71,34604,35148,UNKNOWN
44b6_12dfb391,44b6,78,38277,38937,UNKNOWN
44b6_12dfb391,44b6,90,44943,45548,UNKNOWN
44b6_12dfb391,44b6,29,50393,13608,UNKNOWN
44b6_12dfb391,44b6,90,50777,45551,UNKNOWN
44b6_267148e4,44b6,9,1860,2083,UNKNOWN
44b6_267148e4,44b6,10,2061,2307,UNKNOWN
44b6_267148e4,44b6,10,2096,2347,UNKNOWN
44b6_267148e4,44b6,10,2175,2419,UNKNOWN
44b6_267148e4,44b6,10,2178,2415,UNKNOWN
44b6_267148e4,44b6,10,2188,2431,UNKNOWN
44b6_267148e4,44b6,10,2196,2427,UNKNOWN
44b6_267148e4,44b6,11,2399,2644,UNKNOWN
44b6_267148e4,44b6,11,2442,2673,UNKNOWN
44b6_267148e4,44b6,11,2465,2691,UNKNOWN
44b6_267148e4,44b6,12,2574,2807,UNKNOWN
44b6_267148e4,44b6,12,2582,2802,UNKNOWN
44b6_267148e4,44b6,13,2744,2995,UNKNOWN
44b6_267148e4,44b6,13,2771,3016,UNKNOWN
44b6_267148e4,44b6,13,2783,3031,UNKNOWN
44b6_267148e4,44b6,13,2811,3044,UNKNOWN
44b6_267148e4,44b6,13,2854,3088,UNKNOWN
44b6_267148e4,44b6,13,2910,3162,OFFICIAL_SCORED_FP
44b6_267148e4,44b6,14,2961,3210,UNKNOWN
44b6_267148e4,44b6,17,3744,4017,UNKNOWN
44b6_267148e4,44b6,19,4336,4616,UNKNOWN
44b6_267148e4,44b6,29,7110,7433,UNKNOWN
44b6_267148e4,44b6,29,7120,7423,UNKNOWN
44b6_267148e4,44b6,29,7125,7431,UNKNOWN
44b6_267148e4,44b6,29,7134,7439,UNKNOWN
44b6_267148e4,44b6,29,7140,7448,UNKNOWN
44b6_267148e4,44b6,29,7150,7472,UNKNOWN
44b6_267148e4,44b6,29,7172,7495,UNKNOWN
44b6_267148e4,44b6,29,7215,7542,UNKNOWN
44b6_267148e4,44b6,29,7234,7527,UNKNOWN
44b6_267148e4,44b6,30,7482,7800,UNKNOWN
44b6_267148e4,44b6,30,7486,7801,UNKNOWN
44b6_267148e4,44b6,30,7527,7846,UNKNOWN
44b6_267148e4,44b6,30,7530,7835,UNKNOWN
44b6_267148e4,44b6,30,7546,7850,UNKNOWN
44b6_267148e4,44b6,30,7548,7854,UNKNOWN
44b6_267148e4,44b6,32,8044,8343,UNKNOWN
44b6_267148e4,44b6,32,8054,8359,UNKNOWN
44b6_267148e4,44b6,36,9340,9653,UNKNOWN
44b6_267148e4,44b6,36,9364,9685,UNKNOWN
44b6_267148e4,44b6,37,9803,10120,UNKNOWN
44b6_267148e4,44b6,37,9844,10182,UNKNOWN
44b6_267148e4,44b6,38,10028,10363,UNKNOWN
44b6_267148e4,44b6,39,10311,10621,UNKNOWN
44b6_267148e4,44b6,39,10322,10647,UNKNOWN
44b6_267148e4,44b6,39,10332,10657,UNKNOWN
44b6_267148e4,44b6,39,10463,10781,UNKNOWN
44b6_267148e4,44b6,39,10481,10793,UNKNOWN
44b6_267148e4,44b6,40,10846,11170,UNKNOWN
44b6_267148e4,44b6,41,11014,11353,UNKNOWN
44b6_267148e4,44b6,42,11469,11804,UNKNOWN
44b6_267148e4,44b6,43,11589,11899,UNKNOWN
44b6_267148e4,44b6,43,11737,12056,UNKNOWN
44b6_267148e4,44b6,43,11800,12118,UNKNOWN
44b6_267148e4,44b6,43,11829,12141,UNKNOWN
44b6_267148e4,44b6,44,11910,12228,UNKNOWN
44b6_267148e4,44b6,44,11934,12256,UNKNOWN
44b6_267148e4,44b6,44,11937,12270,UNKNOWN
44b6_267148e4,44b6,44,11965,12276,UNKNOWN
44b6_267148e4,44b6,44,11987,12305,UNKNOWN
44b6_267148e4,44b6,44,11996,12316,UNKNOWN
44b6_267148e4,44b6,44,12014,12338,UNKNOWN
44b6_267148e4,44b6,44,12022,12346,UNKNOWN
44b6_267148e4,44b6,44,12041,12359,UNKNOWN
44b6_267148e4,44b6,44,12049,12363,UNKNOWN
44b6_267148e4,44b6,44,12072,12382,UNKNOWN
44b6_267148e4,44b6,44,12105,12411,UNKNOWN
44b6_267148e4,44b6,44,12141,12429,UNKNOWN
44b6_267148e4,44b6,45,12227,12468,UNKNOWN
44b6_267148e4,44b6,45,12268,12548,UNKNOWN
44b6_267148e4,44b6,45,12276,12559,UNKNOWN
44b6_267148e4,44b6,45,12300,12576,UNKNOWN
44b6_267148e4,44b6,45,12305,12571,UNKNOWN
44b6_267148e4,44b6,45,12310,12585,UNKNOWN
44b6_267148e4,44b6,45,12395,12669,UNKNOWN
44b6_267148e4,44b6,45,12400,12693,UNKNOWN
44b6_267148e4,44b6,45,12402,12714,UNKNOWN
44b6_267148e4,44b6,46,12548,12897,UNKNOWN
44b6_267148e4,44b6,46,12582,12911,UNKNOWN
44b6_267148e4,44b6,46,12594,12928,UNKNOWN
44b6_267148e4,44b6,46,12661,12957,UNKNOWN
44b6_267148e4,44b6,46,12676,12978,UNKNOWN
44b6_267148e4,44b6,46,12677,12968,UNKNOWN
44b6_267148e4,44b6,46,12704,26663,UNKNOWN
