stem,embryo_prefix,embryo_group,visible_test_copy,train_zarr_present,train_geff_present,required_metadata_paths_present,estimated_number_of_nodes_content,official_scorer_eligibility,included_in_frozen_inventory,exclusion_reason,train_zarr_file_count,train_zarr_total_bytes,train_geff_file_count,train_geff_total_bytes,missing_required_image_paths,missing_required_gt_paths,evidence_class
44b6_0113de3b,44b6,44b6,true,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,456757564,21,7617,,,HOST_CONFIRMED_METADATA_ONLY
44b6_0b24845f,44b6,44b6,true,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,547662847,21,7618,,,HOST_CONFIRMED_METADATA_ONLY
44b6_0c582fdc,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,506002314,21,7700,,,HOST_CONFIRMED_METADATA_ONLY
44b6_0db75fae,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,394575075,21,8572,,,HOST_CONFIRMED_METADATA_ONLY
44b6_12dfb391,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,529443276,21,12418,,,HOST_CONFIRMED_METADATA_ONLY
44b6_144b256d,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,544335541,21,8132,,,HOST_CONFIRMED_METADATA_ONLY
44b6_1574802b,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,398567837,21,8547,,,HOST_CONFIRMED_METADATA_ONLY
44b6_18ced818,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,560239657,21,7965,,,HOST_CONFIRMED_METADATA_ONLY
44b6_1d530831,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,517798867,21,9555,,,HOST_CONFIRMED_METADATA_ONLY
44b6_24264f12,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,467494128,21,9182,,,HOST_CONFIRMED_METADATA_ONLY
44b6_267148e4,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,384925816,21,9384,,,HOST_CONFIRMED_METADATA_ONLY
44b6_2a2eff9f,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,514618389,21,8976,,,HOST_CONFIRMED_METADATA_ONLY
44b6_2f31fc2f,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,497888227,21,7899,,,HOST_CONFIRMED_METADATA_ONLY
44b6_33b596bf,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,474866037,21,7587,,,HOST_CONFIRMED_METADATA_ONLY
44b6_341df25f,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,386087572,21,8875,,,HOST_CONFIRMED_METADATA_ONLY
44b6_3a861e03,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,493710406,21,13308,,,HOST_CONFIRMED_METADATA_ONLY
44b6_3bb3690f,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,508635810,21,9806,,,HOST_CONFIRMED_METADATA_ONLY
44b6_40c45f5a,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,520833215,21,8803,,,HOST_CONFIRMED_METADATA_ONLY
44b6_415c0a3a,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,522285003,21,9671,,,HOST_CONFIRMED_METADATA_ONLY
44b6_53f95252,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,546151671,21,7769,,,HOST_CONFIRMED_METADATA_ONLY
44b6_551a5dba,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,550837243,21,8978,,,HOST_CONFIRMED_METADATA_ONLY
44b6_5740d24b,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,452260334,21,8733,,,HOST_CONFIRMED_METADATA_ONLY
44b6_587a1e22,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,411772332,21,10097,,,HOST_CONFIRMED_METADATA_ONLY
44b6_5f15d135,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,539933235,21,9412,,,HOST_CONFIRMED_METADATA_ONLY
44b6_668e0cc7,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,462592772,21,11713,,,HOST_CONFIRMED_METADATA_ONLY
44b6_66f9292d,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,522643965,21,8725,,,HOST_CONFIRMED_METADATA_ONLY
44b6_706092f0,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,550630519,21,8113,,,HOST_CONFIRMED_METADATA_ONLY
44b6_71a4179f,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,543775447,21,8141,,,HOST_CONFIRMED_METADATA_ONLY
44b6_74d0c52e,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,418504706,21,8429,,,HOST_CONFIRMED_METADATA_ONLY
44b6_7a302da0,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,581148135,21,10697,,,HOST_CONFIRMED_METADATA_ONLY
44b6_7e557709,44b6,44b6,false,true,true,true,UNKNOWN_NOT_DOWNLOADED,ELIGIBLE_METADATA_SCHEMA_PRESENT,true,,102,512003896,21,11094,,,HOST_CONFIRMED_METADATA_ONLY
