source_id,owner,notebook_title,notebook_slug,url,current_version,script_version_id,created_at,updated_at,updated_at_page_text,votes,comments,page_displayed_score,score_source,accelerator,runtime,internet_setting,input_datasets,output_files,license,read_status,source_saved,source_sha256,source_bytes,markdown_cells,code_cells,output_cells,all_code_cells_checked,relevance,current_score_verified,stale_score_risk,notes
KAGGLE_CODE_AAAA1597_S1-06-STARDIST-BTRACK-PIPELINE,aaaa1597,s1_06_stardist_btrack_pipeline,s1-06-stardist-btrack-pipeline,https://www.kaggle.com/code/aaaa1597/s1-06-stardist-btrack-pipeline,36,UNKNOWN,,,14d ago,,0,0.648,KAGGLE_CODE_LIST_CARD_DYNAMIC,None,NOT_VERIFIED_OUTPUTS_EMPTY,true,... | competitions | datasets,/kaggle/working/output | /kaggle/working/submission.csv | submission.csv,UNKNOWN_NOT_EXPOSED,FULL_NOTEBOOK_SOURCE_READ,false,714dda7c23860743e7906fcce6de45262b9d9493850f734873b267aa5b33ad9c,121706,9,9,0,true,StarDist,false,UNKNOWN_DYNAMIC_SCORE_UNBOUND_TO_SOURCE_VERSION,discovered_in=1 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission; all 9 code cells hashed and semantically scanned; OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE; UNKNOWN_NOT_EXPOSED_BY_CURRENT_GETKERNEL_RESPONSE; UNKNOWN_API_LAST_RUN_TIME_FIELD_ANOMALOUS_REQUEST_CADENCE_MINUS_3_DAYS
KAGGLE_CODE_AAGNEYE_BIOHUB-V23-DIVISION-REBUILD-RECLAIM,aagneye,BioHub V23 Division Rebuild Reclaim,biohub-v23-division-rebuild-reclaim,https://www.kaggle.com/code/aagneye/biohub-v23-division-rebuild-reclaim,1,UNKNOWN,,,,,0,,KAGGLE_CODE_LIST_CARD_DYNAMIC,NvidiaTeslaT4,NOT_VERIFIED_OUTPUTS_EMPTY,false,biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets,/kaggle/working/wheels | submission.csv,UNKNOWN_NOT_EXPOSED,FULL_NOTEBOOK_SOURCE_READ,false,67a4aadd83a96c8755e7a983c3acd22cd3e9caa3e3ea0a075d135d4145db5faa,209461,14,11,0,true,Hotness | Recently Created | Recently Run,false,UNKNOWN_NO_PAGE_SCORE_OBSERVED,discovered_in=3 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission; all 11 code cells hashed and semantically scanned; OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE; UNKNOWN_NOT_EXPOSED_BY_CURRENT_GETKERNEL_RESPONSE; UNKNOWN_API_LAST_RUN_TIME_FIELD_ANOMALOUS_REQUEST_CADENCE_MINUS_3_DAYS
KAGGLE_CODE_AAGNEYE_BIOHUB-V24-DET-09375,aagneye,BioHub V24 Det 09375,biohub-v24-det-09375,https://www.kaggle.com/code/aagneye/biohub-v24-det-09375,UNKNOWN,UNKNOWN,,,,,0,,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,Recently Created | Recently Run,false,UNKNOWN_NO_PAGE_SCORE_OBSERVED,discovered_in=2 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
KAGGLE_CODE_AAGNEYE_BIOHUB-V25-DET-090,aagneye,BioHub V25 Det 090,biohub-v25-det-090,https://www.kaggle.com/code/aagneye/biohub-v25-det-090,UNKNOWN,UNKNOWN,,,,,0,,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,Recently Created | Recently Run,false,UNKNOWN_NO_PAGE_SCORE_OBSERVED,discovered_in=2 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
KAGGLE_CODE_ABHIJITHNEILABRAHAM_SOLUTION,abhijithneilabraham,solution,solution,https://www.kaggle.com/code/abhijithneilabraham/solution,UNKNOWN,UNKNOWN,,,2mo ago,83,0,0.9,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,tracksdata,false,UNKNOWN_DYNAMIC_SCORE_UNBOUND_TO_SOURCE_VERSION,discovered_in=1 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
KAGGLE_CODE_ALIOMAN_BIOHUB-V19A-PUBLIC-0938-DIV45-EXACT,alioman,Biohub V19A Public 0938 Div45 Exact,biohub-v19a-public-0938-div45-exact,https://www.kaggle.com/code/alioman/biohub-v19a-public-0938-div45-exact,UNKNOWN,UNKNOWN,,,9h ago,,0,0.938,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,Hotness | Public Score | Recently Created | Recently Run,false,UNKNOWN_DYNAMIC_SCORE_UNBOUND_TO_SOURCE_VERSION,discovered_in=4 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
KAGGLE_CODE_ALIOMAN_BIOHUB-V19B-PUBLIC0939-SDM9-ONLY,alioman,biohub-v19b-public0939-sdm9-only,biohub-v19b-public0939-sdm9-only,https://www.kaggle.com/code/alioman/biohub-v19b-public0939-sdm9-only,UNKNOWN,UNKNOWN,,,9h ago,,0,0.939,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,Hotness | Public Score | Recently Created | Recently Run,false,UNKNOWN_DYNAMIC_SCORE_UNBOUND_TO_SOURCE_VERSION,discovered_in=4 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
KAGGLE_CODE_ALIOMAN_BIOHUB-V19C-PUBLIC0939-SIS14-ONLY,alioman,biohub-v19c-public0939-sis14-only,biohub-v19c-public0939-sis14-only,https://www.kaggle.com/code/alioman/biohub-v19c-public0939-sis14-only,1,UNKNOWN,,,9h ago,,0,0.939,KAGGLE_CODE_LIST_CARD_DYNAMIC,NvidiaTeslaT4,NOT_VERIFIED_OUTPUTS_EMPTY,false,biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets,/kaggle/working/dual_seed_frame_retention_guard_report.json | /kaggle/working/submission.csv | /kaggle/working/wheels | submission.csv,UNKNOWN_NOT_EXPOSED,FULL_NOTEBOOK_SOURCE_READ,false,363139b1f15ebd4b822b286019c0ce46533d0e045cdb31a99a9ffe0d7c208fd9,213952,2,10,0,true,Hotness | Public Score | Recently Created | Recently Run,false,UNKNOWN_DYNAMIC_SCORE_UNBOUND_TO_SOURCE_VERSION,discovered_in=4 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission; all 10 code cells hashed and semantically scanned; OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE; UNKNOWN_NOT_EXPOSED_BY_CURRENT_GETKERNEL_RESPONSE; UNKNOWN_API_LAST_RUN_TIME_FIELD_ANOMALOUS_REQUEST_CADENCE_MINUS_3_DAYS
KAGGLE_CODE_ALIOMAN_BIOHUB-V19D-ARM-UNION-LSHAPE,alioman,biohub-v19d-arm-union-lshape,biohub-v19d-arm-union-lshape,https://www.kaggle.com/code/alioman/biohub-v19d-arm-union-lshape,UNKNOWN,UNKNOWN,,,,,0,,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,Hotness | Recently Created | Recently Run,false,UNKNOWN_NO_PAGE_SCORE_OBSERVED,discovered_in=3 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
KAGGLE_CODE_ALIOMAN_BIOHUB-V19D-DUAL-WIDE-DIV400,alioman,biohub-v19d-dual-wide-div400,biohub-v19d-dual-wide-div400,https://www.kaggle.com/code/alioman/biohub-v19d-dual-wide-div400,UNKNOWN,UNKNOWN,,,,,0,,KAGGLE_CODE_LIST_CARD_DYNAMIC,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,METADATA_ONLY,false,,,,,,false,Hotness | Recently Created | Recently Run,false,UNKNOWN_NO_PAGE_SCORE_OBSERVED,discovered_in=3 visible query/sort occurrences; Code card score is dynamic and not bound to current GetKernel source or a submission
