source_id,discussion_id,title,author,author_role,created_at,updated_at,votes,comment_count,url,topic,read_status,first_post_read,comments_loaded,comments_total,host_reply_present,evidence_path,notes
KDISC_738833,738833,Cell Tracking In-Person Workshop,Jordão Bragantini,Competition Host,a day ago,UNKNOWN,4,1,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738833,announcement,FULL_THREAD_READ,true,1,1,true,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,Competition Host宣布2026-11-30至12-03在Redwood City举办线下workshop，并表示竞赛结束后邀请符合官方资格的获奖者；属于 HOST_CONFIRMED。
KDISC_728620,728620,"What if we want the raw data, and/or want to use a language other than Python?",Wayne B Hayes,Participant,a month ago,UNKNOWN,1,1,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/728620,method_or_operations,FULL_THREAD_READ,true,1,1,true,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,参赛者询问原始数据/非Python实现；Competition Host仅说明Zarr是标准且有多语言实现，没有确认另供TIFF或原始数据。
KDISC_716062,716062,Welcome to the Biohub - Cell Tracking During Development Challenge,Thibgolds,Competition Host,2 months ago,UNKNOWN,75,6,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/716062,announcement,FULL_THREAD_READ,true,6,6,true,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,Competition Host介绍任务、稀疏标注、官方资源和推荐方法；Host回复确认公开test文件只是运行占位样本、私有test更大且与公开train无重叠，并说明仓库已加入CSV转GEFF脚本。
KDISC_714101,714101,How to get started + Competition's Official Discord,María Cruz,Kaggle Staff,2 months ago,UNKNOWN,27,7,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/714101,method_or_operations,FULL_THREAD_READ,true,7,7,true,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,Kaggle Staff说明官方Discord是公开但不由Staff/Host监控，重要信息应留在论坛；评论中出现metric exploit报告，Host仅确认正在调查。最终补丁结论以专门Host/Staff帖子为准。
KDISC_738217,738217,focus3d : one of the best 3d cell segmentation,hengck23,Participant,4 days ago,UNKNOWN,16,15,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738217,method_or_operations,FULL_THREAD_READ,true,15,15,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者展示FOCUS-3D尝试并延伸到HOCT、Trackastra和合成/增强数据方向；多条回复是设想或草稿链接，未证明当前比赛效果，归类 COMMUNITY_REPORT/INFERENCE。
KDISC_739018,739018,Question about the node-count adjustment in the metric (adj_edge_jaccard can exceed 1),Michael Hernandez,Participant,18 hours ago,UNKNOWN,2,2,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/739018,metric,FULL_THREAD_READ,true,2,2,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,参与者从公开 scoring code 指出预测节点少于 estimated_number_of_nodes 时 signed ratio 会使调整系数大于1，并给出本地样例；两条评论为参赛者的合成测试或策略观点，未见主办方确认，必须标 COMMUNITY_REPORT/SOURCE_CODE_PENDING_VERIFY。
KDISC_738276,738276,"Quick question for anyone above the 0.94 line — is the detector still a 3D UNet heatmap for you, or did you move to something else ?",Rishabh Roy,Participant,3 days ago,UNKNOWN,4,4,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738276,method_or_operations,FULL_THREAD_READ,true,4,4,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,参与者讨论3D U-Net以外检测器及proxy/LB关系；关于LB dense labels的说法被其他参与者质疑且无官方回复，故该点 UNKNOWN。
KDISC_738773,738773,Detector overfits past ~epoch 10 on fixed sparse-GT frames -- anyone else see this?,nusrati,Participant,2 days ago,UNKNOWN,2,2,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/738773,ground_truth,FULL_THREAD_READ,true,2,2,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,作者报告固定稀疏标注帧训练时loss下降但真实metric恶化、peak数增加；无可绑定训练产物，属于 AUTHOR_CLAIM，不能当作通用结论。
KDISC_739220,739220,How can i reach a 0.9 score at least?,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/739220,scoring,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=9; no body inference.
KDISC_739221,739221,"Tried traiing on ony a 3DTemporalUnet + deterministic linking, loss starts climbing up after 10 epochs",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/739221,method_or_operations,TITLE_SNIPPET_ONLY,false,0,UNKNOWN,UNKNOWN,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Logged-in Discussion listing discovery only; page=1; rank=10; no body inference.
KDISC_737103,737103,Hand labeling - is it external data?,Tim Krige,Participant,11 days ago,UNKNOWN,10,5,https://www.kaggle.com/competitions/biohub-cell-tracking-during-development/discussion/737103,labels_external_data,FULL_THREAD_READ,true,5,5,false,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/root_discussion_deep_reads.json,参赛者询问手工标注外部数据是否合法；评论意见互相冲突且无主办方答复，故结论 UNKNOWN，不能据此判定规则。含一条已删除评论。
