source_id,owner_repo,url,description,relation_to_competition,stars,forks,default_branch,latest_commit_sha,latest_commit_date,license,archived,file_count,read_status,files_actually_read,evidence_path,notes
GH-DISCOVERY-AbigailMcGovern__CTC-data-wrangling,AbigailMcGovern/CTC-data-wrangling,https://github.com/AbigailMcGovern/CTC-data-wrangling,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-009; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-Adisaok__biohub-cell-tracking,Adisaok/biohub-cell-tracking,https://github.com/Adisaok/biohub-cell-tracking,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-002; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-adrianomartinelli__kaggle-cell-tracking-competition,adrianomartinelli/kaggle-cell-tracking-competition,https://github.com/adrianomartinelli/kaggle-cell-tracking-competition,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-CODE-FIRST-PAGE-RELEVANT; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-AgostinhoS__KAGGLE---Biohub-Cell-Tracking,AgostinhoS/KAGGLE---Biohub-Cell-Tracking,https://github.com/AgostinhoS/KAGGLE---Biohub-Cell-Tracking,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-002;GH-RS-003; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-AkilsuryaS__Kaggle-Biohub,AkilsuryaS/Kaggle-Biohub,https://github.com/AkilsuryaS/Kaggle-Biohub,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-010; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-amirfaraji__CellTracking,amirfaraji/CellTracking,https://github.com/amirfaraji/CellTracking,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-009; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-Amit-Brilant__cell-segmentation-byol-unet,Amit-Brilant/cell-segmentation-byol-unet,https://github.com/Amit-Brilant/cell-segmentation-byol-unet,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-009; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-AndreDon0__Biohub---Cell-Tracking-During-Development-Solution,AndreDon0/Biohub---Cell-Tracking-During-Development-Solution,https://github.com/AndreDon0/Biohub---Cell-Tracking-During-Development-Solution,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-CODE-FIRST-PAGE-RELEVANT;GH-RS-001;GH-RS-002; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-AnhDucVu-Hust__Biohub_Cell_Tracking,AnhDucVu-Hust/Biohub_Cell_Tracking,https://github.com/AnhDucVu-Hust/Biohub_Cell_Tracking,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-002; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-AntonioTagliatti__BioHub,AntonioTagliatti/BioHub,https://github.com/AntonioTagliatti/BioHub,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-CODE-FIRST-PAGE-RELEVANT;GH-RS-010; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
GH-DISCOVERY-asapacsin__biohub-cell-tracking,asapacsin/biohub-cell-tracking,https://github.com/asapacsin/biohub-cell-tracking,Search-result repository title/link only,SEARCH_DISCOVERY_NOT_DEEP_READ,,,,,,NOT_CHECKED,NOT_CHECKED,,TITLE_SNIPPET_ONLY,,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/github_ecosystem/evidence/search_query_pages.json,queries=GH-RS-002; no README/source claim; GitHub owner/repo identifier is stored in owner_repo.
