source_id,owner_dataset,url_ref,title,created_at,updated_at,size,license,usability,votes,download_count,files,file_formats,microscopy_type,species,dimensions,time_dimension,labels,relevance,possible_use,rule_eligibility_checked,leakage_risk,compatibility,read_status,evidence_path,notes
dataset_page_kms111201_full_data,kms111201/biohub-cell-tracking-data,https://www.kaggle.com/datasets/kms111201/biohub-cell-tracking-data,BioHub Cell Tracking - Full Data,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,79.16 GB (browser page),CC0-1.0,0.23529411764705882,2,11355,observed_count=200; complete=False; examples=metadata_files/corrupt_files.txt | metadata_files/sample_submission.csv | test_data/test/44b6_0113de3b.zarr/0/c/0/0/0/0 | test_data/test/44b6_0113de3b.zarr/0/c/1/0/0/0 | test_data/test/44b6_0113de3b.zarr/0/c/10/0/0/0 | test_data/test/44b6_0113de3b.zarr/0/c/11/0/0/0 | test_data/test/44b6_0113de3b.zarr/0/c/12/0/0/0 | test_data/test/44b6_0113de3b.zarr/0/c/13/0/0/0,"{"".csv"": 1, "".json"": 17, "".txt"": 1, ""[no_extension]"": 181}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=large competition-named data mirror; leakage review; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_jobayerhossain_competition_copy,jobayerhossain/biohub-cell-tracking-during-development,https://www.kaggle.com/datasets/jobayerhossain/biohub-cell-tracking-during-development,biohub-cell-tracking-during-development,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,6.43 GB (browser page),unknown,0.1875,UNKNOWN,5330,observed_count=200; complete=False; examples=train/44b6_0113de3b.geff/edges/ids/c/0/0 | train/44b6_0113de3b.geff/edges/ids/zarr.json | train/44b6_0113de3b.geff/edges/props/zarr.json | train/44b6_0113de3b.geff/edges/zarr.json | train/44b6_0113de3b.geff/nodes/ids/c/0 | train/44b6_0113de3b.geff/nodes/ids/zarr.json | train/44b6_0113de3b.geff/nodes/props/t/values/c/0 | train/44b6_0113de3b.geff/nodes/props/t/values/zarr.json,"{"".json"": 32, ""[no_extension]"": 168}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition-named data copy; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_isacinformagenie_neurogolf_artifact,isacinformagenie5/biohub-cell-tracking-during-development,https://www.kaggle.com/datasets/isacinformagenie5/biohub-cell-tracking-during-development,Biohub - Cell Tracking During Development,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,2.01 MB (browser page),CC0-1.0,0.4375,1,22,observed_count=200; complete=False; examples=artifacts_manifest.json | experiment_log.json | metrics.jsonl | submission/task001.onnx | submission/task002.onnx | submission/task003.onnx | submission/task004.onnx | submission/task005.onnx,"{"".json"": 2, "".jsonl"": 1, "".onnx"": 197}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition-named output/model bundle; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_soufianehajou_biohub_officiel_v6,soufianehajou/biohub-officiel-v6,https://www.kaggle.com/datasets/soufianehajou/biohub-officiel-v6,Biohub Officiel V6,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,15.94 KB (browser page),apache-2.0,0.4375,UNKNOWN,6,observed_count=1; complete=True; examples=biohub_v6_official.py,"{"".py"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition-named small artifact; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_pilkwang_support_pack,pilkwang/biohub-tracking-support-pack-50ep-v1,https://www.kaggle.com/datasets/pilkwang/biohub-tracking-support-pack-50ep-v1,Biohub Tracking Support Pack,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,355.65 MB (browser page),CC0-1.0,0.5,33,12859,observed_count=87; complete=True; examples=ARTIFACT_MANIFEST.json | README.md | kaggle_dependency_install_command.txt | repo/scripts/augmentations.py | repo/scripts/dataspec.py | repo/scripts/evaluate.py | repo/scripts/predict_unet_transformer.py | repo/scripts/train_unet_transformer.py,"{"".json"": 2, "".md"": 1, "".pth"": 2, "".py"": 15, "".sh"": 2, "".txt"": 3, "".whl"": 62}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=high-use competition support pack; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_pilkwang_temporal_unet,pilkwang/biohub-temporal-unet3d-seed314159-v1,https://www.kaggle.com/datasets/pilkwang/biohub-temporal-unet3d-seed314159-v1,Biohub TemporalUNet3D Seed 314159 V1,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,355.75 MB (browser page),CC0-1.0,0.5,5,4028,observed_count=91; complete=True; examples=ARTIFACT_MANIFEST.json | README.md | kaggle_dependency_install_command.txt | repo/scripts/augmentations.py | repo/scripts/dataspec.py | repo/scripts/evaluate.py | repo/scripts/predict_unet_transformer.py | repo/scripts/train_unet_transformer.py,"{"".csv"": 1, "".json"": 5, "".md"": 1, "".pth"": 2, "".py"": 15, "".sh"": 2, "".txt"": 3, "".whl"": 62}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition temporal 3D weights; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_pilkwang_deepcenter_snapshot,pilkwang/biohub-deepcenter-epoch400-snapshot,https://www.kaggle.com/datasets/pilkwang/biohub-deepcenter-epoch400-snapshot,Kaggle: Your Home for Data Science,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=0; may be partial,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,observed_count=0; complete=False,{},3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,BLOCKED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition center model snapshot; cli_metadata_exit=1; cli_files_exit=1; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_pilkwang_association_ranker,pilkwang/biohub-local-association-ranker-unet300-v1,https://www.kaggle.com/datasets/pilkwang/biohub-local-association-ranker-unet300-v1,Biohub Local Association Ranker UNET300 V1,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,26.89 KB (browser page),CC0-1.0,0.5,1,1018,observed_count=5; complete=True; examples=ASSOCIATION_RANKER_MANIFEST.json | local_association_features.stats.json | model/history.json | model/local_association_ranker.pt | model/model_info.json,"{"".json"": 4, "".pt"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=competition association ranker; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_dalloliogm_biohub_official_scorer_patched,dalloliogm/biohub-official-scorer-patched,https://www.kaggle.com/datasets/dalloliogm/biohub-official-scorer-patched,Biohub scorer (from official patched metric),UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=182402; may be partial,other,0.8125,UNKNOWN,225,observed_count=20; complete=True; examples=LICENSE | PROVENANCE.md | README.md | USAGE.md | metrics.md | tracking_cellmot_075fc5f/scripts/augmentations.py | tracking_cellmot_075fc5f/scripts/csv_to_geffs.py | tracking_cellmot_075fc5f/scripts/dataspec.py,"{"".md"": 4, "".py"": 15, ""[no_extension]"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=patched metric code; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
dataset_page_busyaprime_biohub_local_scoring_support_pack,busyaprime/biohub-local-scoring-support-pack,https://www.kaggle.com/datasets/busyaprime/biohub-local-scoring-support-pack,Biohub Local Scoring Support Pack,UNKNOWN,UNKNOWN; browser page only gave relative age where visible,observed_file_bytes=57113; may be partial,Attribution 4.0 International (CC BY 4.0),0.5882352941176471,1,280,observed_count=9; complete=True; examples=dataset_stats.csv | local_score.py | make_stats.py | metric_cheatsheet.md | submission_template.csv | tracking_cellmot/LICENSE | tracking_cellmot/__init__.py | tracking_cellmot/division_metrics.py,"{"".csv"": 2, "".md"": 1, "".py"": 5, ""[no_extension]"": 1}",3D fluorescence light-sheet or competition artifact,zebrafish embryo / not applicable,3D,yes,"GEFF graph, weights, code, notebook or submission artifacts",very high,metadata/reproducibility reference only pending rule review,false,DO_NOT_USE_PENDING_RULE_REVIEW,current-competition-derived; rule and leakage review mandatory,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/community_history_data/evidence/browser_dataset_page_reads.jsonl,selection=local scoring support; cli_metadata_exit=0; cli_files_exit=0; browser_evidence=evidence/browser_dataset_page_reads.jsonl; no content downloaded
