source_id,owner,notebook_slug,current_version,script_version_id,detection,segmentation,node_extraction,temporal_linking,assignment_optimization,division_detection,track_filtering,node_count_calibration,external_model_data,cv_design,reported_local_score,current_verified_public_score,page_displayed_score,runtime,reproducibility,license,known_failure,evidence_source_ids
KAGGLE_CODE_NUSRATI_0-938,nusrati,0-938,3,UNKNOWN,detection_dog_log | detection_threshold | model_3d_unet,segmentation_connected_components,segmentation_connected_components,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/best.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | full_frame_center/best.pt | last.pt | weights/full_frame_center/best.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.938,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=3; source_sha256=65c2fc9bbe0b3268af46396bfec62906cb85633e46c87ad0fdfe2be0c1412e96; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_NUSRATI_0-938 | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_INVERSION_CELL-TRACKING-GETTING-STARTED-W-NEAREST-NEIGHBOR,inversion,cell-tracking-getting-started-w-nearest-neighbor,3,UNKNOWN,detection_threshold,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,linking_hungarian,linking_hungarian,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,inputs=competitions; weights=,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.143,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=None,FULL_SOURCE_READ; current_version=3; source_sha256=d554171d89310daa7ccd841c59ec9b258908379c762d0e7338565d4aba98e3a9; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_INVERSION_CELL-TRACKING-GETTING-STARTED-W-NEAREST-NEIGHBOR | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_THIBAUTGOLDSBOROUGH_UNET-BASELINE-INFERENCE-SUBMISSION,thibautgoldsborough,unet-baseline-inference-submission,1,UNKNOWN,detection_threshold,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,linking_graph,optimization_ilp_motile,division_detection,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,inputs=competitions | datasets; weights=/split_0/edge_predictor_best.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=a712fae47070c43e00341202c7a0ffa7b584af25d435dd4afe46d952f4a54978; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_THIBAUTGOLDSBOROUGH_UNET-BASELINE-INFERENCE-SUBMISSION | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_JIRKABOROVEC_BIOHUB-CELLTRACK-DOG-TRACKASTRA-GRAPH-TRANS,jirkaborovec,biohub-celltrack-dog-trackastra-graph-trans,8,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold,segmentation_watershed,detection_local_maxima,linking_graph | linking_hungarian | linking_nearest_neighbor | model_trackastra,linking_hungarian | model_trackastra | optimization_ilp_motile,NOT_FOUND_IN_CODE_SCAN,track_filtering,NOT_FOUND_IN_CODE_SCAN,inputs=competitions | models; weights=,metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.616,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=8; source_sha256=0cb707977433e2932861b67dc28be780077f749beadf93fb35792a2b7b614461; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED | TITLE_OR_MARKDOWN_METHOD_NOT_IMPLEMENTED_IN_CODE=division_detection | gap_closing | metric_division_jaccard | node_count_calibration | segmentation_connected_components,KAGGLE_CODE_JIRKABOROVEC_BIOHUB-CELLTRACK-DOG-TRACKASTRA-GRAPH-TRANS | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CELL-TRACKING-CLASSICAL-BASELINE,xiaoleilian,biohub-cell-tracking-classical-baseline,10,UNKNOWN,detection_local_maxima | detection_threshold,NOT_FOUND_IN_CODE_SCAN,detection_local_maxima,linking_graph | linking_hungarian | linking_nearest_neighbor,linking_hungarian,division_detection,track_filtering,node_count_calibration,inputs=biohub-cell-tracking-during-development | competitions; weights=,NO_METRIC_CV_CODE_SIGNAL_FOUND,0,UNKNOWN_UNBOUND,0.763,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=None,FULL_SOURCE_READ; current_version=10; source_sha256=ef193c8cd86c7faa7f5e9240b4ef72b8e5f3e8fbec3e8ba871ba0d8bd087e088; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED | TITLE_OR_MARKDOWN_METHOD_NOT_IMPLEMENTED_IN_CODE=detection_dog_log | gap_closing | metric_edge_jaccard | model_3d_unet,KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CELL-TRACKING-CLASSICAL-BASELINE | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CELL-TRACKING-3D-U-NET,xiaoleilian,biohub-cell-tracking-3d-u-net,15,UNKNOWN,detection_local_maxima | detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,detection_local_maxima,linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian,NOT_FOUND_IN_CODE_SCAN,track_filtering,NOT_FOUND_IN_CODE_SCAN,inputs=biohub-cell-tracking-during-development | biohub-unet3d-weights | competitions; weights=/kaggle/input/biohub-unet3d-weights/unet3d.pt | /unet3d.pt | models/unet3d.pt | unet3d.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.843,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=15; source_sha256=fb615ee1b5e60867781ed0d3c57d5c0d8ca9993096bae8265ab509ffb1ad854f; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED | TITLE_OR_MARKDOWN_METHOD_NOT_IMPLEMENTED_IN_CODE=linking_graph,KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CELL-TRACKING-3D-U-NET | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CT-MIX-DIVAUG,xiaoleilian,biohub-ct-mix-divaug,1,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,detection_local_maxima,gap_closing | linking_hungarian | linking_nearest_neighbor,linking_hungarian,division_detection,NOT_FOUND_IN_CODE_SCAN,node_count_calibration,inputs=biohub-cell-tracking-during-development | biohub-unet3d-weights | competitions; weights=unet3d_bright.pt | unet3d_traintophat.pt,metric_division_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.884,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=1; source_sha256=79ad705f1fff83612bd9b6770be87657a90697d40bd086531059cb4dbb3b9cad; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_XIAOLEILIAN_BIOHUB-CT-MIX-DIVAUG | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-LEARNED-GRAPH-W-GAP-RECOVERY,pilkwang,biohub-cell-tracking-learned-graph-w-gap-recovery,32,UNKNOWN,detection_threshold,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=competitions | datasets; weights=/split_0/edge_predictor_best.pt | edge_predictor_best.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.894,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=32; source_sha256=5d616f969bed8800076b9213f39c4f89791fc9855a0c65efc626bf0b740b4c42; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED | TITLE_OR_MARKDOWN_METHOD_NOT_IMPLEMENTED_IN_CODE=model_3d_unet,KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-LEARNED-GRAPH-W-GAP-RECOVERY | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-TWO-SEEDS-LOGIT-BLEND,pilkwang,biohub-cell-tracking-two-seeds-logit-blend,40,UNKNOWN,detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | last.pt | weights/full_frame_center/checkpoint_last.pt,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.912,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=40; source_sha256=a2e660c6c5d66af5671643fb0e91b4d19faac5907077837116000daa1fee38ac; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-TWO-SEEDS-LOGIT-BLEND | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-DATA-MODEL-EDA-BASELINE,pilkwang,biohub-cell-tracking-data-model-eda-baseline,26,UNKNOWN,detection_dog_log | detection_local_maxima | detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,detection_local_maxima,gap_closing | linking_graph | linking_hungarian | motion_kalman,linking_hungarian,division_detection,track_filtering,node_count_calibration,inputs=biohub-cell-tracking-during-development | competitions; weights=,NO_METRIC_CV_CODE_SIGNAL_FOUND,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.827,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=26; source_sha256=84e48e6e67c239572ca5c144d941433d42f6f0f1c06b1e713286f39e5059190e; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_PILKWANG_BIOHUB-CELL-TRACKING-DATA-MODEL-EDA-BASELINE | NOTEBOOK_CELL_AUDIT
KAGGLE_CODE_YUSUKETOGASHI_CLEAN-APPROACH-LIGHTWEIGHT-LOCAL-CV-NO-HACK,yusuketogashi,clean-approach-lightweight-local-cv-no-hack,106,UNKNOWN,detection_threshold | model_3d_unet,NOT_FOUND_IN_CODE_SCAN,NOT_FOUND_IN_CODE_SCAN,gap_closing | linking_graph | linking_hungarian | linking_nearest_neighbor | motion_kalman,linking_hungarian | optimization_ilp_motile,division_detection,track_filtering,node_count_calibration,inputs=biohub-deepcenter-unet3d-center-prior-v1 | competitions | datasets; weights=/kaggle/input/biohub-deepcenter-unet3d-center-prior-v1/weights/full_frame_center/checkpoint_last.pt | /split_0/edge_predictor_best.pt | best.pt | checkpoint_last.pt | edge_predictor_best.pt | last.pt | weights/full_frame_center/checkpoint_last.pt,metric_division_jaccard | metric_edge_jaccard,NONE_EXTRACTED,UNKNOWN_UNBOUND,0.908,NOT_VERIFIED_OUTPUTS_EMPTY; accelerator=NvidiaTeslaT4,FULL_SOURCE_READ; current_version=106; source_sha256=b754eaffca194e1b1ebbf5aa6471016996313eea1f18af4ff94316df749a2684; outputs=0,UNKNOWN_NOT_EXPOSED,OUTPUTS_CLEARED_OR_ABSENT_IN_GETKERNEL_SOURCE | ScriptVersionId=UNKNOWN | PAGE_SCORE_NOT_BOUND_TO_CURRENT_SOURCE_OR_SUBMISSION | TRAINING_EXECUTION_NOT_VERIFIED,KAGGLE_CODE_YUSUKETOGASHI_CLEAN-APPROACH-LIGHTWEIGHT-LOCAL-CV-NO-HACK | NOTEBOOK_CELL_AUDIT
