name,total_bytes,creation_date,result_page
sample_submission.csv,890,2026-06-26 17:59:59.892000,1
test/44b6_0113de3b.zarr/0/c/0/0/0/0,4469062,2026-06-26 18:43:16.119000,1
test/44b6_0113de3b.zarr/0/c/1/0/0/0,4469190,2026-06-26 18:43:14.673000,1
test/44b6_0113de3b.zarr/0/c/10/0/0/0,4515445,2026-06-26 18:43:18.934000,1
test/44b6_0113de3b.zarr/0/c/11/0/0/0,4516058,2026-06-26 18:43:16.614000,1
test/44b6_0113de3b.zarr/0/c/12/0/0/0,4528017,2026-06-26 18:43:11.431000,1
test/44b6_0113de3b.zarr/0/c/13/0/0/0,4526084,2026-06-26 18:43:12.349000,1
test/44b6_0113de3b.zarr/0/c/14/0/0/0,4529726,2026-06-26 18:43:14.539000,1
test/44b6_0113de3b.zarr/0/c/15/0/0/0,4535215,2026-06-26 18:43:16.249000,1
test/44b6_0113de3b.zarr/0/c/16/0/0/0,4528055,2026-06-26 18:43:19.141000,1
test/44b6_0113de3b.zarr/0/c/17/0/0/0,4542855,2026-06-26 18:43:22.769000,1
test/44b6_0113de3b.zarr/0/c/18/0/0/0,4550184,2026-06-26 18:43:22.071000,1
test/44b6_0113de3b.zarr/0/c/19/0/0/0,4553492,2026-06-26 18:43:12.608000,1
test/44b6_0113de3b.zarr/0/c/2/0/0/0,4476621,2026-06-26 18:43:10.659000,1
test/44b6_0113de3b.zarr/0/c/20/0/0/0,4563882,2026-06-26 18:43:14.888000,1
test/44b6_0113de3b.zarr/0/c/21/0/0/0,4567445,2026-06-26 18:43:16.499000,1
test/44b6_0113de3b.zarr/0/c/22/0/0/0,4579719,2026-06-26 18:43:22.669000,1
test/44b6_0113de3b.zarr/0/c/23/0/0/0,4594410,2026-06-26 18:43:09.216000,1
test/44b6_0113de3b.zarr/0/c/24/0/0/0,4597636,2026-06-26 18:43:15.079000,1
test/44b6_0113de3b.zarr/0/c/25/0/0/0,4595113,2026-06-26 18:43:09.307000,1
test/44b6_0113de3b.zarr/0/c/26/0/0/0,4611850,2026-06-26 18:43:23.201000,1
test/44b6_0113de3b.zarr/0/c/27/0/0/0,4614647,2026-06-26 18:43:21.750000,1
test/44b6_0113de3b.zarr/0/c/28/0/0/0,4604972,2026-06-26 18:43:20.988000,1
test/44b6_0113de3b.zarr/0/c/29/0/0/0,4613517,2026-06-26 18:43:10.783000,1
test/44b6_0113de3b.zarr/0/c/3/0/0/0,4483917,2026-06-26 18:43:15.177000,1
test/44b6_0113de3b.zarr/0/c/30/0/0/0,4624003,2026-06-26 18:43:13.650000,1
test/44b6_0113de3b.zarr/0/c/31/0/0/0,4648170,2026-06-26 18:43:22.471000,1
test/44b6_0113de3b.zarr/0/c/32/0/0/0,4647763,2026-06-26 18:43:20.209000,1
test/44b6_0113de3b.zarr/0/c/33/0/0/0,4635188,2026-06-26 18:43:10.436000,1
test/44b6_0113de3b.zarr/0/c/34/0/0/0,4636074,2026-06-26 18:43:12.011000,1
test/44b6_0113de3b.zarr/0/c/35/0/0/0,4625072,2026-06-26 18:43:10.962000,1
test/44b6_0113de3b.zarr/0/c/36/0/0/0,4631316,2026-06-26 18:43:17.099000,1
test/44b6_0113de3b.zarr/0/c/37/0/0/0,4638398,2026-06-26 18:43:21.468000,1
test/44b6_0113de3b.zarr/0/c/38/0/0/0,4635842,2026-06-26 18:43:21.161000,1
test/44b6_0113de3b.zarr/0/c/39/0/0/0,4639947,2026-06-26 18:43:13.565000,1
test/44b6_0113de3b.zarr/0/c/4/0/0/0,4484303,2026-06-26 18:43:12.731000,1
test/44b6_0113de3b.zarr/0/c/40/0/0/0,4634552,2026-06-26 18:43:09.614000,1
test/44b6_0113de3b.zarr/0/c/41/0/0/0,4641953,2026-06-26 18:43:14.068000,1
test/44b6_0113de3b.zarr/0/c/42/0/0/0,4619716,2026-06-26 18:43:15.990000,1
test/44b6_0113de3b.zarr/0/c/43/0/0/0,4637540,2026-06-26 18:43:22.979000,1
test/44b6_0113de3b.zarr/0/c/44/0/0/0,4647130,2026-06-26 18:43:18.092000,1
test/44b6_0113de3b.zarr/0/c/45/0/0/0,4641582,2026-06-26 18:43:11.905000,1
test/44b6_0113de3b.zarr/0/c/46/0/0/0,4635033,2026-06-26 18:43:11.172000,1
test/44b6_0113de3b.zarr/0/c/47/0/0/0,4636987,2026-06-26 18:43:13.776000,1
test/44b6_0113de3b.zarr/0/c/48/0/0/0,4649998,2026-06-26 18:43:08.924000,1
test/44b6_0113de3b.zarr/0/c/49/0/0/0,4645185,2026-06-26 18:43:10.569000,1
test/44b6_0113de3b.zarr/0/c/5/0/0/0,4480740,2026-06-26 18:43:21.789000,1
test/44b6_0113de3b.zarr/0/c/50/0/0/0,4645978,2026-06-26 18:43:15.417000,1
test/44b6_0113de3b.zarr/0/c/51/0/0/0,4640161,2026-06-26 18:43:15.654000,1
test/44b6_0113de3b.zarr/0/c/52/0/0/0,4637097,2026-06-26 18:43:17.372000,1
test/44b6_0113de3b.zarr/0/c/53/0/0/0,4644329,2026-06-26 18:43:20.528000,1
test/44b6_0113de3b.zarr/0/c/54/0/0/0,4638968,2026-06-26 18:43:17.619000,1
test/44b6_0113de3b.zarr/0/c/55/0/0/0,4646271,2026-06-26 18:43:19.842000,1
test/44b6_0113de3b.zarr/0/c/56/0/0/0,4644442,2026-06-26 18:43:16.790000,1
test/44b6_0113de3b.zarr/0/c/57/0/0/0,4626024,2026-06-26 18:43:17.530000,1
test/44b6_0113de3b.zarr/0/c/58/0/0/0,4624195,2026-06-26 18:43:20.654000,1
test/44b6_0113de3b.zarr/0/c/59/0/0/0,4609907,2026-06-26 18:43:12.757000,1
test/44b6_0113de3b.zarr/0/c/6/0/0/0,4485558,2026-06-26 18:43:18.245000,1
test/44b6_0113de3b.zarr/0/c/60/0/0/0,4615799,2026-06-26 18:43:23.053000,1
test/44b6_0113de3b.zarr/0/c/61/0/0/0,4622870,2026-06-26 18:43:10.156000,1
test/44b6_0113de3b.zarr/0/c/62/0/0/0,4618291,2026-06-26 18:43:20.937000,1
test/44b6_0113de3b.zarr/0/c/63/0/0/0,4619340,2026-06-26 18:43:15.495000,1
test/44b6_0113de3b.zarr/0/c/64/0/0/0,4616615,2026-06-26 18:43:09.029000,1
test/44b6_0113de3b.zarr/0/c/65/0/0/0,4626374,2026-06-26 18:43:21.343000,1
test/44b6_0113de3b.zarr/0/c/66/0/0/0,4616726,2026-06-26 18:43:09.990000,1
test/44b6_0113de3b.zarr/0/c/67/0/0/0,4622719,2026-06-26 18:43:16.893000,1
test/44b6_0113de3b.zarr/0/c/68/0/0/0,4615897,2026-06-26 18:43:18.328000,1
test/44b6_0113de3b.zarr/0/c/69/0/0/0,4608463,2026-06-26 18:43:12.195000,1
test/44b6_0113de3b.zarr/0/c/7/0/0/0,4497661,2026-06-26 18:43:16.381000,1
test/44b6_0113de3b.zarr/0/c/70/0/0/0,4610091,2026-06-26 18:43:13.130000,1
test/44b6_0113de3b.zarr/0/c/71/0/0/0,4612223,2026-06-26 18:43:13.280000,1
test/44b6_0113de3b.zarr/0/c/72/0/0/0,4607792,2026-06-26 18:43:14.224000,1
test/44b6_0113de3b.zarr/0/c/73/0/0/0,4593423,2026-06-26 18:43:09.920000,1
test/44b6_0113de3b.zarr/0/c/74/0/0/0,4580307,2026-06-26 18:43:17.954000,1
test/44b6_0113de3b.zarr/0/c/75/0/0/0,4575266,2026-06-26 18:43:12.906000,1
test/44b6_0113de3b.zarr/0/c/76/0/0/0,4564871,2026-06-26 18:43:11.482000,1
test/44b6_0113de3b.zarr/0/c/77/0/0/0,4565823,2026-06-26 18:43:09.427000,1
test/44b6_0113de3b.zarr/0/c/78/0/0/0,4568401,2026-06-26 18:43:11.247000,1
test/44b6_0113de3b.zarr/0/c/79/0/0/0,4569556,2026-06-26 18:43:19.450000,1
test/44b6_0113de3b.zarr/0/c/8/0/0/0,4502174,2026-06-26 18:43:13.365000,1
test/44b6_0113de3b.zarr/0/c/80/0/0/0,4544434,2026-06-26 18:43:19.572000,1
test/44b6_0113de3b.zarr/0/c/81/0/0/0,4538888,2026-06-26 18:43:22.367000,1
