query_id,category,platform,query,sort_order,result_page,reported_total,actually_obtained,unique_after_dedupe,deep_read_count,access_time_utc,access_time_singapore,status,evidence_path,notes
OFFICIAL_KAGGLE_Q0001,official,Kaggle official API,biohub-cell-tracking-during-development,,all,8,8,8,0,2026-09-03T08:05:57.473812+00:00,2026-09-03T16:05:57.473812+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/official_pages_metadata.csv,endpoint=competitions/pages; response_bytes=887; response_sha256=f912c88600f8139db67fe0094e8721c0792f0e3848177898ea85aa181ed1f88f; error=
OFFICIAL_KAGGLE_Q0002,official,Kaggle official API,biohub-cell-tracking-during-development,name,1,,200,200,0,2026-09-03T08:05:58.440376+00:00,2026-09-03T16:05:58.440376+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26144; response_sha256=ab40900f6e8ee1804f9d2289ccae89718034f74a34fec7d594d93859639fcfc9; error=
OFFICIAL_KAGGLE_Q0003,official,Kaggle official API,biohub-cell-tracking-during-development,name,2,,200,200,0,2026-09-03T08:06:00.100388+00:00,2026-09-03T16:06:00.100388+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26159; response_sha256=cdca3ab0c9f40b4d6e7dcea229fba27b9af51be7f24fcc6acb53de2a62d1ed1d; error=
OFFICIAL_KAGGLE_Q0004,official,Kaggle official API,biohub-cell-tracking-during-development,name,3,,200,200,0,2026-09-03T08:06:01.035592+00:00,2026-09-03T16:06:01.035592+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26570; response_sha256=d96dac67e45e053f4efe6b8cd6f707a8c419eb0b22f88cae8bff89b613462c8a; error=
OFFICIAL_KAGGLE_Q0005,official,Kaggle official API,biohub-cell-tracking-during-development,name,4,,200,200,0,2026-09-03T08:06:01.909423+00:00,2026-09-03T16:06:01.909423+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26588; response_sha256=7b832584f222048b55c01ff39ab0ad762c8cf75973f5dcd7612037f63a34c023; error=
OFFICIAL_KAGGLE_Q0006,official,Kaggle official API,biohub-cell-tracking-during-development,name,5,,200,200,0,2026-09-03T08:06:02.852887+00:00,2026-09-03T16:06:02.852887+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26480; response_sha256=b0b674b3cc8ad0005f5680e4d51e1a91f5d4c7e8ada7d067cfb54181263fdd32; error=
OFFICIAL_KAGGLE_Q0007,official,Kaggle official API,biohub-cell-tracking-during-development,name,6,,200,200,0,2026-09-03T08:06:03.764251+00:00,2026-09-03T16:06:03.764251+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26587; response_sha256=45b777af8b3d52ce7a488e520634ab4780518777fec01a5f8a089687821cc626; error=
OFFICIAL_KAGGLE_Q0008,official,Kaggle official API,biohub-cell-tracking-during-development,name,7,,200,200,0,2026-09-03T08:06:05.399389+00:00,2026-09-03T16:06:05.399389+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26488; response_sha256=b4ef8e2d97a2bd73275bd8895583bf53820456032c80c154d7db579354d6d2f9; error=
OFFICIAL_KAGGLE_Q0009,official,Kaggle official API,biohub-cell-tracking-during-development,name,8,,200,200,0,2026-09-03T08:06:06.344585+00:00,2026-09-03T16:06:06.344585+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26585; response_sha256=12efdc8660bfeb8b117fbca0c2717259498298d37506845fdb688857bf9f9676; error=
OFFICIAL_KAGGLE_Q0010,official,Kaggle official API,biohub-cell-tracking-during-development,name,9,,200,200,0,2026-09-03T08:06:07.206686+00:00,2026-09-03T16:06:07.206686+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26587; response_sha256=1292982ba5aff199292e7c19dac6835105e3a24b8c3b78e1f6c5304a814731cc; error=
OFFICIAL_KAGGLE_Q0011,official,Kaggle official API,biohub-cell-tracking-during-development,name,10,,200,200,0,2026-09-03T08:06:08.724590+00:00,2026-09-03T16:06:08.724590+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26678; response_sha256=11cf18da8893e8382316e8ff07b5b710e6d1665c584cafbab0ee17c2f01cf6ea; error=
OFFICIAL_KAGGLE_Q0012,official,Kaggle official API,biohub-cell-tracking-during-development,name,11,,200,200,0,2026-09-03T08:06:09.631227+00:00,2026-09-03T16:06:09.631227+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26785; response_sha256=11c9f3c77dfa3c6174a8c70c08300ea4c6c2d6c0ea5172964750e92dda760c65; error=
OFFICIAL_KAGGLE_Q0013,official,Kaggle official API,biohub-cell-tracking-during-development,name,12,,200,200,0,2026-09-03T08:06:11.191460+00:00,2026-09-03T16:06:11.191460+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26785; response_sha256=86ccbb370a05761e6fa9f84f4516619d6641a828667c85687f73f3054898b61a; error=
OFFICIAL_KAGGLE_Q0014,official,Kaggle official API,biohub-cell-tracking-during-development,name,13,,200,200,0,2026-09-03T08:06:13.872166+00:00,2026-09-03T16:06:13.872166+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26685; response_sha256=ca6316561bce27607689cf1c5d1f8cd74718a856c4c59ffdc426ecc59bd8207c; error=
OFFICIAL_KAGGLE_Q0015,official,Kaggle official API,biohub-cell-tracking-during-development,name,14,,200,200,0,2026-09-03T08:06:15.666934+00:00,2026-09-03T16:06:15.666934+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26789; response_sha256=9f9d84e6cecaee8b614f58a418edaefe56d6fdd8d18bfbabd187e9a71e1ae94e; error=
OFFICIAL_KAGGLE_Q0016,official,Kaggle official API,biohub-cell-tracking-during-development,name,15,,200,200,0,2026-09-03T08:06:16.511957+00:00,2026-09-03T16:06:16.511957+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26701; response_sha256=f33f66f25540e64028cb41966086d5055b1ba6b9051af8790f9558e7b3dd9c6d; error=
OFFICIAL_KAGGLE_Q0017,official,Kaggle official API,biohub-cell-tracking-during-development,name,16,,200,200,0,2026-09-03T08:06:17.553292+00:00,2026-09-03T16:06:17.553292+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26772; response_sha256=a604ea70be3f8bb79f61b2f54a374b0f6015e475a027764a52f06dc61943dfba; error=
OFFICIAL_KAGGLE_Q0018,official,Kaggle official API,biohub-cell-tracking-during-development,name,17,,200,200,0,2026-09-03T08:06:18.422886+00:00,2026-09-03T16:06:18.422886+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26789; response_sha256=34d72a5fb1fc4c8e9940ef946f20df7b82e12c351694e30f83348491e9e57bbc; error=
OFFICIAL_KAGGLE_Q0019,official,Kaggle official API,biohub-cell-tracking-during-development,name,18,,200,200,0,2026-09-03T08:06:19.810705+00:00,2026-09-03T16:06:19.810705+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26685; response_sha256=ec53d0149b9df61a16beddfa292dbe35ae2909ef2417c1a2fda26c33462a5613; error=
OFFICIAL_KAGGLE_Q0020,official,Kaggle official API,biohub-cell-tracking-during-development,name,19,,200,200,0,2026-09-03T08:06:20.704558+00:00,2026-09-03T16:06:20.704558+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26779; response_sha256=fa3a3794415665f5060b5a78dfa6cb5c8bbda6cc9eda2acb4c0061825073689c; error=
OFFICIAL_KAGGLE_Q0021,official,Kaggle official API,biohub-cell-tracking-during-development,name,20,,200,200,0,2026-09-03T08:06:21.575651+00:00,2026-09-03T16:06:21.575651+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26788; response_sha256=29b6ebfe3d1187f619c46bb4e33aff39ad2680c6ee97ef54f0961a50197d7804; error=
OFFICIAL_KAGGLE_Q0022,official,Kaggle official API,biohub-cell-tracking-during-development,name,21,,200,200,0,2026-09-03T08:06:23.195659+00:00,2026-09-03T16:06:23.195659+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26686; response_sha256=21974de590d34fbaaeb3eeeea4cf66d06bd28765c53cbb5272ad10131f707e2a; error=
OFFICIAL_KAGGLE_Q0023,official,Kaggle official API,biohub-cell-tracking-during-development,name,22,,200,200,0,2026-09-03T08:06:24.843872+00:00,2026-09-03T16:06:24.843872+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26788; response_sha256=6bd60888c92d393bbdd4e988aecc22849b4279f2b4cda271305715c2ef177c6a; error=
OFFICIAL_KAGGLE_Q0024,official,Kaggle official API,biohub-cell-tracking-during-development,name,23,,200,200,0,2026-09-03T08:06:25.773759+00:00,2026-09-03T16:06:25.773759+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26708; response_sha256=f0972f24d5e92c437dc3c09b3c3187ba1edac2f93cefd9a685c37afe2435a081; error=
OFFICIAL_KAGGLE_Q0025,official,Kaggle official API,biohub-cell-tracking-during-development,name,24,,200,200,0,2026-09-03T08:06:26.636334+00:00,2026-09-03T16:06:26.636334+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26760; response_sha256=550d0a9b7c95f791aae279cdbe2027600fcb3f24fb178ae2ddf4886feaf6ecbf; error=
OFFICIAL_KAGGLE_Q0026,official,Kaggle official API,biohub-cell-tracking-during-development,name,25,,200,200,0,2026-09-03T08:06:27.493758+00:00,2026-09-03T16:06:27.493758+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26787; response_sha256=8815a37b6de3384d7cf1681ca7b0e1b5bac45844734bddb0e1fa5103bcfe7ecf; error=
OFFICIAL_KAGGLE_Q0027,official,Kaggle official API,biohub-cell-tracking-during-development,name,26,,200,200,0,2026-09-03T08:06:28.986678+00:00,2026-09-03T16:06:28.986678+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26686; response_sha256=a29a0fb1a9b0836b0a49da22206f3bcf045b354273b3caf4f799d8ababceac91; error=
OFFICIAL_KAGGLE_Q0028,official,Kaggle official API,biohub-cell-tracking-during-development,name,27,,200,200,0,2026-09-03T08:06:30.549868+00:00,2026-09-03T16:06:30.549868+08:00,OK,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/competition_files_metadata.csv,endpoint=competitions/files; response_bytes=26780; response_sha256=b66492c8d9a7e6585b46582700fdb1f086eb9b2173595b00d06bd00111c289f8; error=
OFFICIAL_KAGGLE_Q0029,official,Kaggle official API,biohub-cell-tracking-during-development,name,28,,,,0,2026-09-03T08:06:31.436576+00:00,2026-09-03T16:06:31.436576+08:00,RATE_LIMITED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,endpoint=competitions/files; response_bytes=0; response_sha256=; error=HTTPError: 429 Client Error: Too Many Requests for url: https://api.kaggle.com/v1/competitions.CompetitionApiService/ListDataFiles
OFFICIAL_KAGGLE_Q0030,official,Kaggle official API,biohub-cell-tracking-during-development,public_score_desc,1,,,,0,2026-09-03T08:06:32.339166+00:00,2026-09-03T16:06:32.339166+08:00,RATE_LIMITED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,endpoint=competitions/leaderboard; response_bytes=0; response_sha256=; error=HTTPError: 429 Client Error: Too Many Requests for url: https://api.kaggle.com/v1/competitions.CompetitionApiService/GetLeaderboard
OFFICIAL_KAGGLE_Q0031,kaggle_code,Kaggle official API,biohub-cell-tracking-during-development,scoreDescending,1,,,,0,2026-09-03T08:06:33.135685+00:00,2026-09-03T16:06:33.135685+08:00,RATE_LIMITED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,endpoint=kernels/list; response_bytes=0; response_sha256=; error=HTTPError: 429 Client Error: Too Many Requests for url: https://api.kaggle.com/v1/kernels.KernelsApiService/ListKernels
OFFICIAL_KAGGLE_Q0032,kaggle_code,Kaggle official API,biohub-cell-tracking-during-development,voteCount,1,,,,0,2026-09-03T08:06:34.788756+00:00,2026-09-03T16:06:34.788756+08:00,RATE_LIMITED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,endpoint=kernels/list; response_bytes=0; response_sha256=; error=HTTPError: 429 Client Error: Too Many Requests for url: https://api.kaggle.com/v1/kernels.KernelsApiService/ListKernels
OFFICIAL_KAGGLE_Q0033,kaggle_code,Kaggle official API,biohub-cell-tracking-during-development,hotness,1,,,,0,2026-09-03T08:06:36.255803+00:00,2026-09-03T16:06:36.255803+08:00,RATE_LIMITED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,endpoint=kernels/list; response_bytes=0; response_sha256=; error=HTTPError: 429 Client Error: Too Many Requests for url: https://api.kaggle.com/v1/kernels.KernelsApiService/ListKernels
OFFICIAL_KAGGLE_Q0034,kaggle_code,Kaggle official API,biohub-cell-tracking-during-development,dateRun,1,,,,0,2026-09-03T08:06:37.089939+00:00,2026-09-03T16:06:37.089939+08:00,RATE_LIMITED,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/staging/official_kaggle/evidence/failure_ledger.json,endpoint=kernels/list; response_bytes=0; response_sha256=; error=HTTPError: 429 Client Error: Too Many Requests for url: https://api.kaggle.com/v1/kernels.KernelsApiService/ListKernels
