query_id,category,platform,query,sort_order,result_page,reported_total,actually_obtained,unique_after_dedupe,deep_read_count,access_time_utc,access_time_singapore,status,evidence_path,notes
Q_KDISC_LIST_P1,kaggle_discussion,Kaggle,competition discussion listing,Hotness,1,UNKNOWN,21,21,14,2026-09-03T08:30:43.107Z,2026-09-03T16:30:43.107000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Rendered listing bytes=4295 sha256=7888db8e195f6218ef66cd79591a041f7c9db17c74eb6f7fe474ffd721e0e570
Q_KDISC_LIST_P2,kaggle_discussion,Kaggle,competition discussion listing,Hotness,2,UNKNOWN,24,24,13,2026-09-03T08:30:48.773Z,2026-09-03T16:30:48.773000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Rendered listing bytes=4352 sha256=e78000ba098ee54fdd7fdb4cc5dbdcdf6168a32aa332d0beeb312c1bc4d4ae0b
Q_KDISC_LIST_P3,kaggle_discussion,Kaggle,competition discussion listing,Hotness,3,UNKNOWN,23,23,11,2026-09-03T08:30:54.387Z,2026-09-03T16:30:54.387000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_listing_pages_1_3.json,Rendered listing bytes=4167 sha256=7fee49999324e761250fce1ef2f4889515927e5d50cef63c1a20c279e61e1675
Q_KDISC_KEY_01,kaggle_discussion,Kaggle,Competition Host,Kaggle discussion relevance,1,UNKNOWN,3,3,3,2026-09-03T08:32:07.856Z,2026-09-03T16:32:07.856000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1059 sha256=b4dba192980cc91cc027bb2512dd18e6de3fb98cdc1b0ec1ee2dde72c661700a
Q_KDISC_KEY_02,kaggle_discussion,Kaggle,pinned discussion,Kaggle discussion relevance,1,UNKNOWN,3,3,3,2026-09-03T08:32:08.805Z,2026-09-03T16:32:08.805000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1059 sha256=b4dba192980cc91cc027bb2512dd18e6de3fb98cdc1b0ec1ee2dde72c661700a
Q_KDISC_KEY_03,kaggle_discussion,Kaggle,metric,Kaggle discussion relevance,1,UNKNOWN,17,17,12,2026-09-03T08:32:10.237Z,2026-09-03T16:32:10.237000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=3383 sha256=deb0f3a7a25fba54bc34e3bbb88dac2e1d3ca5141845a25dbedb7a162879bc49
Q_KDISC_KEY_04,kaggle_discussion,Kaggle,evaluation,Kaggle discussion relevance,1,UNKNOWN,8,8,5,2026-09-03T08:32:11.366Z,2026-09-03T16:32:11.366000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1773 sha256=e6def65616434f68d75c00607e075992c933e6e7d642e0d2d26792c73102264c
Q_KDISC_KEY_05,kaggle_discussion,Kaggle,division metric,Kaggle discussion relevance,1,UNKNOWN,11,11,8,2026-09-03T08:32:12.311Z,2026-09-03T16:32:12.311000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=2402 sha256=c6c5fa7a6e205c36fe005637496edeb3791404ee481b46688971d4a78253e8cf
Q_KDISC_KEY_06,kaggle_discussion,Kaggle,edge jaccard,Kaggle discussion relevance,1,UNKNOWN,11,11,5,2026-09-03T08:32:13.259Z,2026-09-03T16:32:13.259000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=2372 sha256=589aaab8c08554daf0ebe5610e2c340607c92caa463f351cfa0907fe0a0f6b4c
Q_KDISC_KEY_07,kaggle_discussion,Kaggle,metric exploit,Kaggle discussion relevance,1,UNKNOWN,6,6,6,2026-09-03T08:32:14.223Z,2026-09-03T16:32:14.223000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1470 sha256=47a895309e8eefb6edd3f81958e8965f044d3818c9ec9a5a4a03f236ff9763be
Q_KDISC_KEY_08,kaggle_discussion,Kaggle,leaderboard recalculation,Kaggle discussion relevance,1,UNKNOWN,3,3,3,2026-09-03T08:32:15.178Z,2026-09-03T16:32:15.178000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1059 sha256=b4dba192980cc91cc027bb2512dd18e6de3fb98cdc1b0ec1ee2dde72c661700a
Q_KDISC_KEY_09,kaggle_discussion,Kaggle,data format,Kaggle discussion relevance,1,UNKNOWN,4,4,3,2026-09-03T08:32:16.124Z,2026-09-03T16:32:16.124000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1315 sha256=9cd66ceba170e49e4c20d51237a2772be55eea1fb0bd788a9f7f501894b4d1dc
Q_KDISC_KEY_10,kaggle_discussion,Kaggle,sparse ground truth,Kaggle discussion relevance,1,UNKNOWN,4,4,3,2026-09-03T08:32:17.073Z,2026-09-03T16:32:17.073000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1458 sha256=e283dc4ed28ebb158fcea126aab89151958fd80a014f805314758af4fd0be4c1
Q_KDISC_KEY_11,kaggle_discussion,Kaggle,estimated_number_of_nodes,Kaggle discussion relevance,1,UNKNOWN,6,6,5,2026-09-03T08:32:18.029Z,2026-09-03T16:32:18.029000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1555 sha256=fc361779bb0357f78959c40f1b968bb5833515c97307e34c6837d5822fec21dc
Q_KDISC_KEY_12,kaggle_discussion,Kaggle,external data,Kaggle discussion relevance,1,UNKNOWN,6,6,5,2026-09-03T08:32:18.983Z,2026-09-03T16:32:18.983000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1531 sha256=9701ebc2ee243067669b73c2f907c64111b91800c81951a9b4925f92c23c9cf2
Q_KDISC_KEY_13,kaggle_discussion,Kaggle,Zebrahub,Kaggle discussion relevance,1,UNKNOWN,3,3,3,2026-09-03T08:32:19.927Z,2026-09-03T16:32:19.927000+08:00,FULL_PAGE_BODY_READ,research/20260903_BIOHUB_CELL_PUBLIC_RECON_V01/evidence/discussion_keyword_searches.json,Rendered search bytes=1219 sha256=b35a6940dbf902eb086ee957acd6d75b754629842e4185a78ae9555fc79e7acb
